Object_ID,Length,Gamma,1st_assignment,score1,2nd_assignment,score2,confidence
gi|10313991|ref|NC_002549.1|_49/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_50/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_51/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_52/1,301,0.00363636,3052462,1,NA,0,1
gi|10313991|ref|NC_002549.1|_53/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_54/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_55/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_56/1,301,0.00363636,3052462,1,NA,0,1
gi|10313991|ref|NC_002549.1|_57/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_58/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_59/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_60/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_61/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_62/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_63/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_64/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_65/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_66/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_67/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_68/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_69/1,301,0.00363636,3052462,1,NA,0,1
gi|10313991|ref|NC_002549.1|_70/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_71/1,301,0.00363636,3052462,1,NA,0,1
gi|10313991|ref|NC_002549.1|_72/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_73/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_74/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_75/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_76/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_77/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_78/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_79/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_80/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_81/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_82/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_83/1,301,0.00363636,3052462,1,NA,0,1
gi|10313991|ref|NC_002549.1|_84/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_85/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_86/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_87/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_88/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_89/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_90/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_91/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_92/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_93/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_94/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_95/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_96/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_97/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_98/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_99/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_100/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_101/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_102/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_103/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_104/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_105/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_106/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_107/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_108/1,301,0.00363636,3052462,1,NA,0,1
gi|10313991|ref|NC_002549.1|_109/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_110/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_111/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_112/1,301,0.00363636,3052462,1,NA,0,1
gi|10313991|ref|NC_002549.1|_113/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_114/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_115/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_116/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_117/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_118/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_119/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_120/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_121/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_122/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_123/1,301,0.00363636,3052462,1,NA,0,1
gi|10313991|ref|NC_002549.1|_124/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_125/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_126/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_127/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_128/1,301,0.00363636,3052462,1,NA,0,1
gi|10313991|ref|NC_002549.1|_129/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_130/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_131/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_132/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_133/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_134/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_135/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_136/1,301,0.00363636,3052462,1,NA,0,1
gi|10313991|ref|NC_002549.1|_137/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_138/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_139/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_140/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_141/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_142/1,301,0.00363636,3052462,1,NA,0,1
gi|10313991|ref|NC_002549.1|_143/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_144/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_145/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_146/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_147/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_148/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_149/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_150/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_151/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_152/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_153/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_154/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_155/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_156/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_157/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_158/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_159/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_160/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_161/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_162/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_163/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_164/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_165/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_166/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_167/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_168/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_169/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_170/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_171/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_172/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_173/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_174/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_175/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_176/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_177/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_178/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_179/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_180/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_181/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_182/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_183/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_184/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_185/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_186/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_187/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_188/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_189/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_190/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_191/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_192/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_193/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_194/1,301,0.00363636,3052462,1,NA,0,1
gi|10313991|ref|NC_002549.1|_195/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_196/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_197/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_198/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_199/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_200/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_201/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_202/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_203/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_204/1,301,0.00363636,3052462,1,NA,0,1
gi|10313991|ref|NC_002549.1|_205/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_206/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_207/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_208/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_209/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_210/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_211/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_212/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_213/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_214/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_215/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_216/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_217/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_218/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_219/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_220/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_221/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_222/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_223/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_224/1,301,0.00363636,3052462,1,NA,0,1
gi|10313991|ref|NC_002549.1|_225/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_226/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_227/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_228/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_229/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_230/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_231/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_232/1,301,0.00363636,3052462,1,NA,0,1
gi|10313991|ref|NC_002549.1|_233/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_234/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_235/1,301,0.00363636,3052462,1,NA,0,1
gi|10313991|ref|NC_002549.1|_236/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_237/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_238/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_239/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_240/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_241/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_242/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_243/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_244/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_245/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_246/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_247/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_248/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_249/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_250/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_251/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_252/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_253/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_254/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_255/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_256/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_257/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_258/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_259/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_260/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_261/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_262/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_263/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_264/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_265/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_266/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_267/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_268/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_269/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_270/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_271/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_272/1,301,0.00363636,3052462,1,NA,0,1
gi|10313991|ref|NC_002549.1|_273/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_274/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_275/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_276/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_277/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_278/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_279/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_280/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_281/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_282/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_283/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_284/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_285/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_286/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_287/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_288/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_289/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_290/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_291/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_292/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_293/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_294/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_295/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_296/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_297/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_298/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_299/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_300/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_301/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_302/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_303/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_304/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_305/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_306/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_307/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_308/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_309/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_310/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_311/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_312/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_313/1,301,0.0109091,3052462,3,NA,0,1
gi|10313991|ref|NC_002549.1|_314/1,301,0.00727273,3052462,2,NA,0,1
gi|10313991|ref|NC_002549.1|_315/1,301,0.0109091,3052462,3,NA,0,1
